Daily users by item version
Date,1.0.0.0,1.0.1.0,1.0.2.1,1.0.3.0,1.0.4.0,1.0.5.0,1.0.6.0,1.0.7.0,1.0.8.0,1.0.9.0
14/07/2026,0,0,0,0,0,0,0,0,0,0
15/07/2026,0,0,0,0,0,0,0,0,0,0
16/07/2026,0,0,0,0,0,0,0,0,0,0
17/07/2026,3,0,0,0,0,0,0,0,0,0
18/07/2026,0,0,0,0,0,0,0,0,0,0
19/07/2026,0,0,0,0,0,0,0,0,0,0
20/07/2026,0,0,0,0,0,0,0,0,0,0
21/07/2026,0,27,0,0,0,0,0,0,0,0
22/07/2026,0,50,0,0,0,0,0,0,0,0
23/07/2026,0,60,0,0,0,0,0,0,0,0
24/07/2026,0,38,5,1,8,0,0,0,0,0
25/07/2026,0,2,2,0,33,24,0,0,0,0
26/07/2026,0,2,0,0,3,72,0,0,0,0
27/07/2026,0,2,0,0,2,91,0,0,0,0
28/07/2026,0,0,0,0,0,86,0,0,0,0
29/07/2026,0,0,0,0,0,87,0,0,0,0
30/07/2026,0,0,0,0,0,0,0,0,0,0
31/07/2026,0,0,0,0,0,126,0,0,0,0
01/08/2026,0,0,0,0,0,95,37,0,0,0
02/08/2026,0,0,0,0,0,11,117,0,0,0
03/08/2026,0,1,0,0,0,6,114,0,0,0
04/08/2026,0,0,0,0,0,1,107,0,0,0
05/08/2026,0,0,0,0,0,1,125,0,0,0
06/08/2026,0,0,0,0,0,1,119,0,0,0
07/08/2026,0,0,0,0,0,0,85,28,0,0
08/08/2026,0,1,0,0,0,1,10,94,0,0
09/08/2026,0,0,0,0,0,0,2,113,0,0
10/08/2026,0,0,0,0,0,0,0,132,0,0
11/08/2026,0,0,0,0,1,0,0,93,51,0
12/08/2026,0,0,0,0,0,1,1,8,96,20
