Enabled vs disabled
Date,Disabled,Enabled
14/07/2026,0,0
15/07/2026,0,0
16/07/2026,0,0
17/07/2026,0,3
18/07/2026,0,0
19/07/2026,0,0
20/07/2026,0,0
21/07/2026,1,26
22/07/2026,4,46
23/07/2026,3,57
24/07/2026,4,47
25/07/2026,5,56
26/07/2026,6,71
27/07/2026,8,87
28/07/2026,7,79
29/07/2026,6,81
30/07/2026,0,0
31/07/2026,6,120
01/08/2026,8,124
02/08/2026,9,119
03/08/2026,11,110
04/08/2026,13,95
05/08/2026,11,115
06/08/2026,12,108
07/08/2026,13,100
08/08/2026,12,94
09/08/2026,12,103
10/08/2026,11,121
11/08/2026,11,133
12/08/2026,14,112
