Installs by OS
Date,ChromeOS,Linux,Other,Windows,macOS
14/07/2026,0,0,0,0,0
15/07/2026,0,0,0,0,0
16/07/2026,0,0,0,4,0
17/07/2026,1,0,0,0,0
18/07/2026,1,0,0,0,0
19/07/2026,1,0,1,4,0
20/07/2026,1,0,0,0,0
21/07/2026,2,2,1,15,4
22/07/2026,1,0,1,5,1
23/07/2026,1,0,1,3,1
24/07/2026,1,1,1,5,1
25/07/2026,0,1,1,9,0
26/07/2026,1,0,2,3,0
27/07/2026,1,0,2,6,3
28/07/2026,1,2,1,5,2
29/07/2026,2,0,1,5,1
30/07/2026,0,0,0,0,0
31/07/2026,2,1,1,1,0
01/08/2026,2,0,1,2,4
02/08/2026,2,1,2,7,1
03/08/2026,2,0,1,4,0
04/08/2026,1,0,1,1,0
05/08/2026,2,1,1,0,0
06/08/2026,2,1,1,1,0
07/08/2026,1,1,1,5,0
08/08/2026,1,0,1,0,0
09/08/2026,1,0,1,3,0
10/08/2026,1,0,1,0,0
11/08/2026,1,1,1,4,0
12/08/2026,1,0,1,0,0
