Weekly users by OS
Date,ChromeOS,Linux,Other,Windows,macOS
14/07/2026,0,0,0,0,0
15/07/2026,0,0,0,0,0
16/07/2026,0,0,0,0,0
17/07/2026,0,0,0,3,0
18/07/2026,0,0,0,3,0
19/07/2026,0,0,0,3,0
20/07/2026,0,0,0,3,0
21/07/2026,0,3,0,24,3
22/07/2026,0,4,0,50,3
23/07/2026,0,6,0,81,4
24/07/2026,0,8,1,96,4
25/07/2026,0,10,1,122,4
26/07/2026,0,13,1,154,5
27/07/2026,0,13,1,199,8
28/07/2026,0,15,1,228,9
29/07/2026,1,15,1,235,10
30/07/2026,0,0,0,0,0
31/07/2026,1,16,0,292,10
01/08/2026,1,16,0,317,14
02/08/2026,1,14,0,335,15
03/08/2026,2,13,0,328,16
04/08/2026,2,13,0,320,16
05/08/2026,2,14,0,333,17
06/08/2026,2,15,0,317,17
07/08/2026,2,14,0,298,17
08/08/2026,2,13,1,275,16
09/08/2026,2,12,1,261,16
10/08/2026,2,13,1,279,16
11/08/2026,2,12,2,319,16
12/08/2026,2,11,2,326,16
