Weekly users by language
Date,English (United Kingdom),English (United States),French,German,Italian,Japanese,Korean,Portuguese (Brazil),Russian,Spanish,Turkish
14/07/2026,0,0,0,0,0,0,0,0,0,0,0
15/07/2026,0,0,0,0,0,0,0,0,0,0,0
16/07/2026,0,0,0,0,0,0,0,0,0,0,0
17/07/2026,0,0,0,0,0,0,0,0,0,0,0
18/07/2026,0,0,0,0,0,0,0,0,0,0,0
19/07/2026,0,0,0,0,0,0,0,0,0,0,0
20/07/2026,0,0,0,0,0,0,0,0,0,0,0
21/07/2026,2,10,0,0,1,0,1,1,2,0,0
22/07/2026,2,11,0,0,1,0,1,1,2,0,0
23/07/2026,2,14,0,0,1,0,2,1,2,0,1
24/07/2026,2,18,0,0,1,0,2,1,2,0,1
25/07/2026,2,21,0,0,1,0,2,1,2,0,1
26/07/2026,2,28,0,0,1,0,2,1,2,0,1
27/07/2026,4,31,1,0,1,0,2,1,2,1,1
28/07/2026,5,38,1,0,1,1,2,2,2,1,1
29/07/2026,6,44,1,0,0,1,2,2,2,1,1
30/07/2026,0,0,0,0,0,0,0,0,0,0,0
31/07/2026,7,46,1,0,0,1,2,3,2,1,1
01/08/2026,9,48,1,1,0,1,2,3,2,1,1
02/08/2026,10,46,1,1,0,1,2,3,2,1,1
03/08/2026,11,50,1,1,0,1,2,3,2,1,1
04/08/2026,12,49,1,1,0,1,2,3,2,0,1
05/08/2026,12,50,1,1,0,1,2,3,2,0,1
06/08/2026,12,52,1,1,0,1,2,3,2,0,1
07/08/2026,12,54,1,1,0,1,2,3,2,0,1
08/08/2026,12,56,1,1,0,0,2,3,2,0,1
09/08/2026,13,56,1,1,0,0,2,3,1,0,2
10/08/2026,14,58,1,1,0,0,2,3,1,0,2
11/08/2026,13,60,1,1,0,0,2,3,1,0,2
12/08/2026,13,59,1,1,0,0,2,3,1,0,2
