Weekly users by region
Date,Algeria,Australia,Bangladesh,Brazil,Canada,France,Germany,India,Indonesia,Italy,Japan,Malaysia,Mexico,Pakistan,Philippines,Romania,Russia,South Korea,Sri Lanka,Sweden,Taiwan,Turkey,United Kingdom,United States,Vietnam
14/07/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/07/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16/07/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17/07/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
18/07/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
19/07/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
20/07/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
21/07/2026,0,0,0,3,1,0,0,6,0,1,0,0,0,0,0,0,1,1,0,5,0,0,1,9,1
22/07/2026,0,0,0,3,1,0,0,6,0,1,0,0,0,0,1,0,1,1,0,24,0,0,1,16,1
23/07/2026,0,0,0,3,1,0,0,8,0,1,0,0,0,0,1,0,1,2,0,50,1,1,1,19,1
24/07/2026,1,1,0,3,1,0,0,8,0,1,0,0,0,0,1,2,1,2,0,59,1,1,1,23,1
25/07/2026,1,1,0,3,1,0,0,10,0,1,0,0,0,0,2,2,1,2,0,81,1,1,1,26,1
26/07/2026,1,1,0,3,1,0,0,14,0,1,0,0,0,0,2,2,1,2,0,106,1,1,1,30,1
27/07/2026,1,1,1,4,1,1,0,15,0,1,0,0,1,0,2,2,2,2,1,144,1,1,1,33,1
28/07/2026,1,2,1,5,1,1,0,17,0,1,1,1,1,1,3,2,2,2,1,166,1,1,1,35,1
29/07/2026,1,2,1,5,1,1,0,22,0,0,1,1,2,1,3,2,3,2,1,164,1,1,1,39,1
30/07/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/07/2026,0,2,1,5,1,1,0,25,0,0,1,1,4,1,3,3,3,2,1,213,1,1,1,43,1
01/08/2026,0,2,1,5,1,1,1,26,0,0,1,1,4,1,3,3,4,2,1,236,3,1,2,44,1
02/08/2026,0,2,1,5,2,1,1,26,0,0,1,1,5,1,3,2,4,2,1,255,2,1,2,42,1
03/08/2026,0,3,1,5,1,1,1,30,1,0,1,1,5,1,3,1,4,2,1,244,3,1,3,43,1
04/08/2026,0,4,0,5,1,1,1,30,1,0,1,1,5,1,3,1,4,2,1,237,3,1,3,42,1
05/08/2026,0,4,0,5,1,1,1,31,1,0,1,1,5,1,3,1,4,2,1,251,3,1,3,42,1
06/08/2026,0,4,0,5,1,1,1,32,1,0,1,1,4,1,3,1,4,2,1,237,3,1,3,40,1
07/08/2026,0,4,0,4,1,1,1,34,1,0,1,1,4,1,3,1,5,2,1,215,3,1,3,40,1
08/08/2026,0,5,0,7,1,1,1,33,1,0,0,0,3,1,4,0,4,2,1,190,3,1,3,43,1
09/08/2026,0,5,0,7,1,1,1,35,1,0,0,0,3,1,4,0,3,2,1,174,4,2,3,42,0
10/08/2026,0,5,0,7,1,2,1,37,1,0,0,0,3,1,4,0,3,2,1,190,4,3,3,42,0
11/08/2026,0,5,0,9,1,2,1,36,1,0,0,0,3,1,4,0,3,2,1,229,4,3,3,41,0
12/08/2026,0,4,0,9,1,2,1,35,1,0,0,0,2,1,4,0,3,2,1,234,4,3,3,44,0
